,index,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year,format
3918,3918,5,Star Wars,"TV, Movie & Video Games",Cyclops,New,2002-Now,Star Wars,,323938199096,36.77,1,"Oct 11, 2019",6in.,star wars black series first order jet trooper carbonite edition walmart,Action Figure,2019,Auction
3919,3919,1,Hasbro,Transformers & Robots,,Used,1980-2001,Transformers,,293270362947,50.0,1,"Oct 11, 2019",,transformers g1 pretender iguanus complete ,Action Figure,,Auction
3920,3920,0,Yezlieying,Military & Adventure,Soldier,New,,,,113406754203,4.64,119,,12in.,"1: 6 wwii soldier weapon mg42 machine gun model fit 12"" soldier action figure",Action Figure,,BIN
3921,3921,0,Hasbro,Other Action Figures,,Used,1980-2001,Battle Beasts,,233353459862,15.0,1,"Oct 11, 2019",2in.,battle beasts - #12 blitzkreig bat - series 1 - complete w/ rub sign,Action Figure,1986,BIN
3922,3922,0,Marvel,"TV, Movie & Video Games",Lock Jaw,New,,Marvel Universe,,254337331320,29.99,1,"Oct 11, 2019",,panini marvel universe figurine collection - lock jaw- over sized limited,Action Figure,2018,BIN
3923,3923,0,Bandai,"TV, Movie & Video Games",Mega Man,Used,2002-Now,Mega Man,,392463987765,64.99,1,"Oct 11, 2019",,d-arts mega man rockman action figure bandai tamashii nations ** used **,Action Figure,,BIN
3924,3924,0,Hasbro,Military & Adventure,,Used,,GI Joe,,193104415218,325.0,1,"Oct 11, 2019",12in.,1964 1973 vintage gi joe - adventure team - sears mystery of the boiling lagoon ,Action Figure,1964,BIN
3925,3925,0,Hasbro,Transformers & Robots,Megatron,Used,1980-2001,Transformers,,163902487170,125.0,1,"Oct 11, 2019",,"transformers beast wars collection lot of 19 figures optimus primal, megatron, ",Action Figure,,BIN
3926,3926,1,Takara TOMY,Transformers & Robots,Scavenger,Used,,Transformers,,254376564462,24.05,1,"Oct 11, 2019",, unite warriors scavenger decepticon transformers devastator takara tomy,Action Figure,,Auction
3927,3927,0,Hasbro,"TV, Movie & Video Games",Princess Leia,New,2002-Now,Star Wars,,163842441375,64.88,1,"Oct 11, 2019",3.75in.,princess leia slave outfit vc64 figure vintage collection revenge of the jedi,Action Figure,2015,BIN
3928,3928,0,Hasbro,Comic Book Heroes,Cyclops,Used,,X-Men,,163899650723,18.0,1,"Oct 11, 2019",6in.,marvel legends x-men retro marvel action figure new loose dazzler,Action Figure,2019,BIN
3929,3929,0,Marvel,Comic Book Heroes,Captain Action,New,,Captain America,,163899932588,25.0,1,"Oct 11, 2019",7in.,"marvel select disney store exclusive avenging captain america 7"" figure loose",Action Figure,,BIN
3930,3930,0,Bandai,Transformers & Robots,,Used,1980-2001,,,153679732414,13.35,1,"Oct 11, 2019",,1985 vintage tonka gobots heat seeker jet friendly 52 robot action figure mr-49,Action Figure,1985,BIN
3931,3931,0,JINBAO,Transformers & Robots,Optimus Prime,New,,Transformers,,173883302611,24.99,55,,4.7in.,"jinbao robot pocket size mp10 g1 optimus prime 4.7 "" action figure enlarged dx9",Action Figure,2019,BIN
3932,3932,1,Star Wars,"TV, Movie & Video Games",Rey,New,2002-Now,Star Wars,,323938200600,25.0,1,"Oct 11, 2019",6in.,star wars the black series rey & d-o (white box),Action Figure,2019,Auction
3933,3933,7,Hasbro,"TV, Movie & Video Games",Stormtrooper,New,2002-Now,Star Wars,,153672368813,32.0,1,"Oct 11, 2019",6in.,star wars storm trooper action figure tbs 40th anniversary new,Action Figure,2016,Auction
3934,3934,0,Star Wars,"TV, Movie & Video Games",,New,2002-Now,Star Wars,,323867511129,29.99,320,,,star wars the black series 6-inch general grievous figure,Action Figure,,BIN
3935,3935,1,Hasbro,"TV, Movie & Video Games",,New,,Star Wars,,323938200752,120.0,1,"Oct 11, 2019",3.75in.,"star wars revenge of the sith episode iii wave 1, figures 1 to 20.",Action Figure,2005,Auction
3936,3936,0,hiya,Comic Book Heroes,The Flash,New,2002-Now,Justice League,,352817572634,39.99,1,,3.75in.,injustice 2 the flash px exclusive 3.75 inch 1/18 scale figure hiya toys new!,Action Figure,2019,BIN
3937,3937,0,Kenner,"TV, Movie & Video Games",Sand People Tusken Raider,Used,Pre-1980,Star Wars,,332943206218,11.0,1,,3.75in.,sand people tusken raider starwars new hope vintage 1978 barbarian fighter loose,Action Figure,1978,BIN
