,bids,brand,category,character,condition,era,franchise,gender,item_num,price,quantity_sold,sell_date,size,title,toy_type,year
2664,0,Mattel,Comic Book Heroes,,Used,1980-2001,Masters of the Universe,,163862635606,17.63,1,"Oct 11, 2019",6in.,MOTU Masters of the Universe He-Man Fisto Jitsu Figure Part Vintage Lot Armor,Action Figure,
2665,0,Unbranded,Historical Figures,,Used,,,,143331650943,19.99,1,"Oct 11, 2019",,Rare Saddam Hussein Doll Action Figure 12”,Action Figure,
2666,0,Hasbro,"TV, Movie & Video Games",Luke Skywalker,New,,,,283640154712,54.0,1,"Oct 11, 2019",6in.,"2019 STAR WARS  BLACK SERIES  LUKE SKYWALKER  JEDI KNIGHT  6"" FIGURE EXCLUSIVE B",Action Figure,
2667,0,Hasbro,Comic Book Heroes,,Used,2002-Now,Marvel Universe,,163902335444,15.95,1,"Oct 11, 2019",6 Inch Scale,"Marvel Legends Avengers Endgame Armored Thanos Series Ronin Hasbro 6"" Scale MCU",Action Figure,
2668,3,Hasbro,"TV, Movie & Video Games",,Used,,Star Wars,,323938067007,1.94,1,"Oct 11, 2019",3.75in.,DARTH MAUL Tatooine * Episode 1 The Phantom Menace TPM 1999  * Loose,Action Figure,
2669,0,BANDAI,"TV, Movie & Video Games",,New,,,,401916104054,99.98,1,,,S.H.Figuarts Star Wars DARTH MAUL Action Figure BANDAI 140mm,Action Figure,
2670,0,Unbranded,"TV, Movie & Video Games",,New,,,,362688580674,7.99,35,,,How to Train Your Dragon PVC Action Figures Toys Gift Set : Toothless Night Fury,Action Figure,
2671,0,Hasbro,Comic Book Heroes,The Hulk,Used,,Incredible Hulk,,133178556213,6.99,1,"Oct 11, 2019",6in.,2006 Hulk Marvel Hasbro Action Figure 6 Inch,Action Figure,2007
2672,0,Kenner,"TV, Movie & Video Games",,Used,,Star Wars,,401790543595,10.79,1,"Oct 11, 2019","3.75""",Luke Hoth  Complete C8 Repro Weapon   Star Wars DC,Action Figure,
2673,0,Kenner,"TV, Movie & Video Games",,Used,,Star Wars,,362684056212,10.8,1,"Oct 11, 2019","3.75""",Han Hoth Complete Repro Weapon  C8.5  Vintage Star Wars ,Action Figure,
2674,0,Kenner,"TV, Movie & Video Games",,Used,,Star Wars,,362638256605,15.3,1,"Oct 11, 2019","3.75""",Luke Bespin Complete Repro Weapon  C8+  Star Wars ,Action Figure,
2675,0,Kenner,"TV, Movie & Video Games",Yoda,Used,Pre-1980,Star Wars,,283638658338,38.99,1,"Oct 11, 2019",3.75in.,1980 Star Wars Yoda Action Figure Complete Vintage Kenner Hong Kong,Action Figure,1980
2676,0,Hasbro,Military & Adventure,Quick Kick,Used,,GI Joe,,283636479240,22.99,1,"Oct 11, 2019",3.75in.,1985 GI Joe Quick Kick Ninja Action Figure Cobra Hasbro v1,Action Figure,1985
2677,0,NECA,"TV, Movie & Video Games",Jason Voorhees,New,2002-Now,Friday The 13th,,143247524601,29.99,37,,7in.,"NECA Friday the 13th 2009 Movie Jason Voorhees Ultimate 7"" Action Figure NIB",Action Figure,2019
2678,0,Kenner,"TV, Movie & Video Games",Robert Muldoon,Used,1980-2001,Jurassic Park,,293237343315,18.99,1,"Oct 11, 2019",4.5in.,Jurassic Park Series 2 Robert Muldoon with Raptor Hatchling & All Gear COMPLETE!,Action Figure,1994
