,bids,brand,category,character,condition,era,franchise,gender,price,quantity_sold,sell_date,size,title,toy_type,year,format
4080,0,TYCO,"TV, Movie & Video Games",Brontosaurus,Used,,Dino-Riders,,40.0,1,"Oct 10, 2019",,Vintage 1987 Tyco Dino Riders Brontosaurus Walking Dinosaur Action Figure WORKS,Action Figure,1987,BIN
4081,0,TYCO,"TV, Movie & Video Games",Stegosaurus,Used,,Dino-Riders,,30.0,1,"Oct 10, 2019",,Vintage 1989 Tyco Dino Riders Stegosaurus Walking Dinosaur Action Figure WORKS!,Action Figure,1989,BIN
4082,0,TYCO,"TV, Movie & Video Games",,Used,,Dino-Riders,,30.0,1,"Oct 10, 2019",,Vintage 1989 Tyco Dino Riders Kentrosaurus Dinosaur Action Figure ,Action Figure,1989,BIN
4083,0,Hasbro,Transformers & Robots,Scourge,New,2002-Now,Transformers,,50.0,1,"Oct 10, 2019",,Transformers SCOURGE Robots in Disguise DESTRUCTICON  Nemesis Prime Generations,Action Figure,2002,BIN
4084,4,MLB The Show 19,Sports,,New,,,,15.0,1,"Oct 10, 2019",,"Bryce Harper (Philadelphia Phillies) MLB The Show 19 7"" Figure",,,Auction
4085,0,Bandai,Anime & Manga,,Used,,Dragon Ball Z,,35.0,1,"Oct 10, 2019",6in.,Super Saiyan Future Trunks SH Figuarts AUTHENTIC Bandai Figure Dragonball Z DBZ,Action Figure,,BIN
4086,0,WWE Wrestling,Sports,,New,,WWE,,17.99,1,"Oct 10, 2019",,WWE Wrestling Series 50 Luke Gallows & Karl Anderson Action new Damaged Box,Action Figure,,BIN
4087,16,Star Wars,"TV, Movie & Video Games",Raider,Used,,,,31.0,1,"Oct 10, 2019",,Vintage Star Wars R2-D2 w/Sensorscope Action Figure,Action Figure,,Auction
4088,0,Modeling Toys,Military & Adventure,,New,,,,2.99,1,,,Navy SEAL Boarding Unit - Half Face Mask - 1/6 Scale - Modeling Action Figures,,,BIN
4089,12,McFarlane Labyrinth,Music,,New,,,,17.0,1,"Oct 10, 2019",,"Jareth (Labyrinth) Dance Magic 7"" Action Figure McFarlane",,,Auction
4090,6,Revoltech,Comic Book Heroes,Carnage,New,2002-Now,Spider-Man,,23.5,1,"Oct 10, 2019",6in.,Marvel Legends Comics Amazing Yamaguchi Revoltech No.008 Carnage loose figure,Action Figure,,Auction
4091,0,Hasbro,Comic Book Heroes,,New,,Marvel Universe,,22.0,1,,,"2019 Hasbro Marvel Legends Thor BAF Series CAPTAIN AMERICA 6"" Figure MOC ",Action Figure,,BIN
4092,0,Kenner,"TV, Movie & Video Games",Leia Organa,Used,,Star Wars,,89.99,1,"Oct 10, 2019",3.75in.,Star Wars Vintage Princess Leia 1977 Complete Original Blaster First 12 * NICE *,Action Figure,1977,BIN
4093,2,MLB The Show 19,Sports,,New,,,,10.5,1,"Oct 10, 2019",,"Francisco Lindor (Cleveland Indians) MLB The Show 19 7"" Figure",,,Auction
4094,0,Marvel Legends,Comic Book Heroes,Colossus,New,2002-Now,X-Men,,38.0,1,"Oct 10, 2019",6in.,Marvel Legends 80th Anniversary Loose Colossus Only - NO Juggernaut - New,Action Figure,2019,BIN
4095,0,HASBRO,Comic Book Heroes,,Used,2008,GI.JOE,,19.29,1,"Oct 10, 2019","3.75"" SERIES",GI JOE 25TH MONTEZUMA SKELETON DVD BATTLES LOOSE COMPLETE,Action Figure,2008,BIN
4096,0,Hasbro,Military & Adventure,,Used,,GI Joe,,4.99,1,"Oct 10, 2019",3.75in.,Backblast Vintage Hasbro G.I. GI Joe ARAH Action Figure 1989,Action Figure,,BIN
4097,0,Mattel,Sports,Vader,Used,,,,30.0,1,"Oct 10, 2019",7.5in.,"2011 Wrestling WWE Elite Series 31 7.5"" Vader Action Figure Mattel",Action Figure,2011,BIN
